City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
149,Saint-Georges,GD,2020-11-09 04:11:07,12.06,-61.75,82.4,83,20,21.92,few clouds
150,Gat,IL,2020-11-09 04:11:07,31.61,34.76,64.0,82,20,1.12,few clouds
151,Urcos,PE,2020-11-09 04:11:07,-13.69,-71.62,50.54,63,79,2.55,broken clouds
152,Paamiut,GL,2020-11-09 04:11:07,61.99,-49.67,22.5,88,100,43.31,overcast clouds
153,Caconde,BR,2020-11-09 04:11:07,-21.53,-46.64,68.4,51,0,3.76,clear sky
154,Torbay,CA,2020-11-09 04:11:07,47.67,-52.73,34.0,74,20,10.29,few clouds
155,Las Vegas,US,2020-11-09 04:09:24,36.17,-115.14,48.2,49,1,9.17,clear sky
156,Ahipara,NZ,2020-11-09 04:08:22,-35.17,173.17,59.83,82,93,11.05,light rain
157,Chuy,UY,2020-11-09 04:11:08,-33.7,-53.46,58.62,89,68,6.98,broken clouds
158,Balod,IN,2020-11-09 04:11:08,20.73,81.2,70.95,44,0,5.93,clear sky
159,Constitucion,CL,2020-11-09 04:11:08,-35.33,-72.42,55.74,71,63,7.87,broken clouds
160,Birao,CF,2020-11-09 04:11:08,10.28,22.79,70.0,40,16,4.72,few clouds
161,Mayo,US,2020-11-09 04:11:08,38.89,-76.51,57.99,100,1,4.45,mist
162,La Ronge,CA,2020-11-09 04:11:09,55.1,-105.28,14.0,78,100,12.75,overcast clouds
163,Harper,LR,2020-11-09 04:11:09,4.38,-7.72,78.1,84,96,5.57,light rain
164,Asau,RO,2020-11-09 04:11:09,46.43,26.4,41.0,70,0,2.24,mist
165,San Quintin,MX,2020-11-09 04:11:09,30.48,-115.95,61.09,61,25,15.43,scattered clouds
166,Dubbo,AU,2020-11-09 04:09:27,-32.25,148.62,78.8,41,31,4.7,scattered clouds
167,Atbasar,KZ,2020-11-09 04:11:09,51.8,68.33,33.49,94,100,29.33,overcast clouds
168,Thompson,CA,2020-11-09 04:08:21,55.74,-97.86,8.6,84,90,13.87,light snow
169,Bambous Virieux,MU,2020-11-09 04:11:10,-20.34,57.76,77.0,88,75,12.75,shower rain
