City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,California City,US,2020-11-08 23:55:27,35.13,-117.99,48.2,56,1,14.99
295,Razole,IN,2020-11-08 23:55:27,16.48,81.83,67.86,83,0,3.96
296,Sobolevo,RU,2020-11-08 23:55:27,54.43,31.9,38.08,87,13,6.22
297,Kununurra,AU,2020-11-08 23:54:24,-15.77,128.73,89.6,55,40,5.82
298,Taoudenni,ML,2020-11-08 23:54:04,22.68,-3.98,79.86,16,72,9.1
299,Banepa,NP,2020-11-08 23:55:27,27.63,85.52,50.0,93,20,2.24
300,Kalmar,SE,2020-11-08 23:55:27,56.66,16.36,48.99,100,2,2.24
301,Shimabara,JP,2020-11-08 23:55:28,32.78,130.37,55.4,66,20,2.24
302,Atar,MR,2020-11-08 23:53:55,20.52,-13.05,84.92,15,68,5.82
303,Singkang,MY,2020-11-08 23:55:28,2.1,102.8,75.2,94,20,2.24
304,Novo Aripuana,BR,2020-11-08 23:55:28,-5.12,-60.38,75.15,97,92,4.25
